feature,value,1,2,3,4,5,6,7
attn_0_0_outputs,0,8.211795,3.4082355,0.36167488,-6.465746,-12.646077,-16.187572,-16.966064
attn_0_0_outputs,1,4.5925846,1.5819398,1.1276096,-3.3096976,-6.7270613,-9.062795,-7.363332
attn_0_0_outputs,10,0.5125856,0.27397177,0.12040679,-0.6392887,-0.45731828,-0.62440836,-0.6189282
attn_0_0_outputs,11,0.6390518,0.3847331,0.05602101,-0.7362461,-0.632717,-0.6388133,-0.46073833
attn_0_0_outputs,12,0.8169079,0.5480033,0.1187278,-0.46346185,-0.7188842,-0.6311291,-0.43598366
attn_0_0_outputs,13,0.4867714,0.82856745,0.28022155,-0.8258158,-0.62145716,-0.32547277,-0.4438127
attn_0_0_outputs,14,0.395592,0.5833247,0.81221515,-0.9863436,-0.77898145,-0.83010256,-0.46101037
attn_0_0_outputs,15,0.58820236,0.73647463,0.07576918,-0.7002982,-1.1933839,-0.8299287,-0.09677815
attn_0_0_outputs,16,0.7008259,0.61095744,0.41210714,-0.023940729,-0.69313884,-0.32104456,-0.5933528
attn_0_0_outputs,17,0.62420917,0.38218823,0.94386685,-0.35125867,-1.4349073,-1.336536,-1.0143291
attn_0_0_outputs,18,0.4129639,0.47613773,0.07303027,-0.5319928,-1.3326285,-0.7667444,-0.9709808
attn_0_0_outputs,19,0.65502834,0.045325678,-0.35958606,-1.0251466,-0.39821935,-0.35410383,-0.9039726
attn_0_0_outputs,2,4.7334905,1.8127792,1.3930215,-3.0465107,-7.3467364,-8.698205,-6.9130535
attn_0_0_outputs,3,4.2521076,1.3138889,0.82057154,-3.5888526,-7.446104,-8.784598,-7.114195
attn_0_0_outputs,4,4.791369,1.8254627,1.3656616,-3.0125885,-6.6044626,-8.317468,-7.390063
attn_0_0_outputs,5,4.620405,1.7156337,1.2486439,-2.8797164,-7.7361975,-7.9903674,-7.160263
attn_0_0_outputs,6,4.8202734,1.9748544,1.6259661,-2.4817436,-6.3182106,-8.620952,-6.346615
attn_0_0_outputs,7,5.043935,2.0612662,1.3255457,-2.641521,-8.711499,-9.151805,-10.563869
attn_0_0_outputs,8,4.8928733,2.124271,1.872989,-2.065537,-6.572978,-7.451614,-4.8060417
attn_0_0_outputs,9,5.428533,2.753143,2.6845226,-1.7343866,-5.4769254,-5.7181807,-4.1864433
attn_0_1_outputs,0,8.19024,3.0791261,0.28521273,-6.2361484,-11.5348425,-14.644334,-15.144986
attn_0_1_outputs,1,3.8795516,1.1891333,1.0645844,-3.2341723,-6.7961335,-6.516109,-5.483446
attn_0_1_outputs,10,0.546631,0.4817642,-0.09190992,-0.8327474,-0.57037854,-1.2490486,-0.57994556
attn_0_1_outputs,11,0.3839066,0.996867,0.1339757,-0.38987058,-0.47189453,-1.0489755,-0.12448936
attn_0_1_outputs,12,0.69162923,0.41465175,-0.49307522,0.0139523195,-0.38339815,-0.95581865,-0.7646248
attn_0_1_outputs,13,0.04470457,0.2964075,0.23244925,-0.11974957,-1.0117092,-1.0252582,-0.45433858
attn_0_1_outputs,14,0.56829345,0.33746427,0.63785946,0.4325613,-0.44584787,-0.56913954,-0.9262118
attn_0_1_outputs,15,0.925532,1.3052316,0.59187335,-0.77115184,-0.4801246,-0.8411146,-0.27361992
attn_0_1_outputs,16,0.35429606,0.17627212,-0.4259326,0.52840424,-0.24967737,-0.4421035,-0.61242163
attn_0_1_outputs,17,0.8323941,0.5754391,-0.25865746,0.10922707,-1.3346215,-0.35487396,-0.6447432
attn_0_1_outputs,18,1.4673204,0.8674994,0.16526571,-0.6688923,-0.94190246,-0.62445194,-0.52344465
attn_0_1_outputs,19,1.3638312,0.51523983,-0.34262893,-0.22881672,-1.0378089,-0.34493187,-0.6993278
attn_0_1_outputs,2,8.116091,3.5399442,1.6266692,-4.413869,-9.353841,-11.235392,-12.461244
attn_0_1_outputs,3,3.2567363,0.9934718,1.0010316,-3.083557,-5.990953,-5.9152246,-5.3731236
attn_0_1_outputs,4,4.4472094,1.5119547,1.1276898,-3.469091,-5.9714847,-8.042832,-7.1186304
attn_0_1_outputs,5,3.6979606,1.485114,1.5190809,-2.4362972,-5.2043247,-5.5912223,-5.0409026
attn_0_1_outputs,6,3.576729,1.5349696,1.5820109,-2.4639618,-4.54972,-6.2700243,-3.206604
attn_0_1_outputs,7,5.0766745,2.5403132,0.9225075,-3.4009242,-4.803225,-7.036217,-5.7141585
attn_0_1_outputs,8,9.7607355,4.8928747,2.2905557,-3.9777093,-8.854549,-6.753459,-19.868765
attn_0_1_outputs,9,10.550129,5.866265,3.5217297,-2.528994,-7.5537972,-9.314507,-18.744139
mlp_0_0_outputs,0,0.44064477,0.62894976,0.35855582,-0.13633354,-0.5282287,-0.61512136,-1.1013482
mlp_0_0_outputs,1,0.21357429,0.10124765,0.32608607,-0.15252227,-0.28288668,-0.420714,-0.43161923
mlp_0_0_outputs,10,-0.44426847,0.37411553,0.31939727,-0.3670602,-0.39484498,-0.36699086,0.23471542
mlp_0_0_outputs,11,0.32894883,0.054554597,0.3075887,-0.24779828,-0.8687707,-0.12213744,0.108982034
mlp_0_0_outputs,12,0.71768945,0.46297422,0.8369423,-0.4495152,-0.60869586,-0.05932856,-0.13128345
mlp_0_0_outputs,13,0.33390522,0.82229984,0.6241293,-0.46093753,-0.26797047,-0.20508303,-0.119434185
mlp_0_0_outputs,14,0.6897665,0.13376929,0.47301343,0.4810754,-0.8615716,-0.30438754,-1.0485932
mlp_0_0_outputs,15,0.10606304,0.3217993,0.7040767,-0.50000226,-0.38466907,0.28787598,-0.60706353
mlp_0_0_outputs,16,0.7719066,0.5528118,0.6762395,-0.1450274,-0.07048809,-0.6086642,-0.8675312
mlp_0_0_outputs,17,-0.90447253,0.57779676,1.3299257,0.17210299,0.11976167,-0.79046434,-0.34223217
mlp_0_0_outputs,18,-0.11668843,0.28355706,-0.17487437,-0.21710561,-0.5087881,-0.6042815,-0.3485814
mlp_0_0_outputs,19,7.4076247,2.9213586,1.2260213,-6.0432305,-15.007521,-24.47914,-21.669678
mlp_0_0_outputs,2,0.015600883,-0.057353657,0.8617607,0.12417414,0.25136694,-1.0608851,-0.9838406
mlp_0_0_outputs,3,0.22275333,0.81824857,0.18958019,-0.2933129,-0.03950054,0.3039764,-0.2898136
mlp_0_0_outputs,4,1.0709951,0.6558545,0.64944565,0.17713894,-0.44306585,-0.80329055,-0.22660396
mlp_0_0_outputs,5,0.74642015,0.42242298,-0.27579045,-0.39190415,-0.68062127,-0.4359882,-0.1352861
mlp_0_0_outputs,6,0.24827242,0.31951764,0.9473769,0.22380424,-0.25817853,-0.49912408,-0.16184953
mlp_0_0_outputs,7,0.14266697,0.009308069,0.65090173,-0.17307203,-0.029618336,-0.40800273,-0.2002558
mlp_0_0_outputs,8,0.50356096,0.6208304,0.10147043,0.17036456,-0.40324527,-0.58553684,-1.0765754
mlp_0_0_outputs,9,0.5848778,0.5148559,0.6111194,-0.19004329,0.1055875,-0.59558386,-0.66463095
num_attn_0_0_outputs,_,0.99543077,0.8591873,0.7078656,0.54218626,0.28772447,-0.4664606,-10.119893
num_attn_0_1_outputs,_,-27.216589,-11.185217,2.7368875,14.0424795,22.1603,26.434668,26.24301
num_mlp_0_0_outputs,0,4.3691397,-2.2042406,-2.4641652,-2.2692595,-0.3096925,-0.779705,-0.42614672
num_mlp_0_0_outputs,1,2.1863837,0.38855758,-1.3144627,-1.4593028,-0.6845222,-0.6930077,-0.82934177
num_mlp_0_0_outputs,10,0.6643828,0.46726653,-0.4425889,-0.011366264,-0.30280963,-1.3262874,-1.2548857
num_mlp_0_0_outputs,11,2.52514,1.1080394,-2.3693314,-2.5253146,-2.4003563,-0.6549976,-0.43744084
num_mlp_0_0_outputs,12,3.4588234,-1.1307505,-2.3322463,-1.7842039,-0.7294696,-0.64594036,-0.39093232
num_mlp_0_0_outputs,13,7.6609707,-3.6441336,-15.263968,-1.0419736,-0.5172572,-0.90973467,-0.49212608
num_mlp_0_0_outputs,14,-1.9823774,1.1479244,6.2145634,0.7091611,-5.4484935,-11.740099,-8.901967
num_mlp_0_0_outputs,15,3.9293327,-2.461561,-1.3707271,-0.5396008,-0.76087576,-0.53825957,-0.62695605
num_mlp_0_0_outputs,16,5.27081,-2.6082678,-2.3904152,-1.4682862,-1.0820343,-0.27811268,-1.0825926
num_mlp_0_0_outputs,17,1.3551053,0.1437192,-0.2659623,-0.8907073,0.047317322,-0.2739546,-0.5413584
num_mlp_0_0_outputs,18,1.5370831,0.049848873,-0.20797789,-0.47243607,-0.5514863,-0.36023247,-0.9678508
num_mlp_0_0_outputs,19,2.013471,-0.14992456,-0.50843775,-0.34487146,-0.82092476,-0.9609011,-0.17127563
num_mlp_0_0_outputs,2,1.8034552,0.6933635,-0.96406126,-0.4028573,-0.3568749,-0.9435167,-1.1000203
num_mlp_0_0_outputs,3,7.1167555,10.32619,-9.700497,-14.048584,-15.037775,-16.696802,-16.967098
num_mlp_0_0_outputs,4,0.9252592,0.89261585,0.064205974,0.22350009,0.11176408,-0.7182858,-0.6778733
num_mlp_0_0_outputs,5,0.41589662,0.43773267,0.75131917,0.042368222,0.29844925,-0.604175,-0.627222
num_mlp_0_0_outputs,6,0.69521105,-0.13177596,-0.030763786,0.04597706,-0.35503784,0.3981877,-1.2831451
num_mlp_0_0_outputs,7,0.12511307,0.22228934,0.2915362,-0.73811406,-0.050379016,-0.7103713,-0.68735653
num_mlp_0_0_outputs,8,1.2013973,0.09193535,-0.521999,-0.48503536,-0.49664974,-1.0957711,-0.25378418
num_mlp_0_0_outputs,9,3.2840893,0.062234018,-1.2377921,-1.2025498,-1.038914,-0.2893028,-0.49584004
ones,_,7.582693,3.2739909,0.7631315,-5.527782,-12.780043,-14.686159,-15.378276
positions,0,-0.5528684,0.10863614,0.2878442,-0.5585727,-0.39275444,0.12728614,-0.04177409
positions,1,7.080257,2.6858203,0.5492485,-5.237765,-11.086253,-13.924515,-13.515239
positions,10,0.0034088837,-0.06436358,-0.6281849,-0.027090238,-0.01065933,-0.06331717,-0.042531047
positions,11,-0.16469869,-0.20407839,0.17570591,0.07992968,0.46351066,-0.600347,-0.43202868
positions,12,-0.12218093,0.17981575,-0.285197,-0.04313232,0.021092527,0.60314894,-0.42034727
positions,13,-0.49474272,0.1424287,-0.45510268,0.34576115,-0.31105438,-0.3281425,-0.06513728
positions,14,0.20570596,-0.19157104,-0.09080548,-0.5642388,-0.44369397,-0.0452374,0.011359598
positions,15,-0.32450297,0.0005235924,-0.52192265,0.17096506,0.23784344,0.06509057,-0.27604097
positions,16,0.3320629,0.74207956,0.10572029,-0.23396759,-0.034591768,0.062495176,0.015408644
positions,17,-0.26035306,0.3595358,0.0100056045,-0.59605867,0.13136195,-0.714386,0.16003847
positions,18,0.3319097,0.0072061787,0.32799533,-0.5209725,0.19473684,-0.2404836,0.008677807
positions,19,-0.33389148,-0.29100665,0.25514647,0.36002722,0.46249247,0.050067663,-0.04897256
positions,2,6.5247364,2.1343243,0.03212212,-5.771268,-11.722306,-14.643347,-14.590939
positions,3,6.7933583,2.4049866,0.3108059,-5.5507755,-11.407045,-14.199915,-13.89677
positions,4,6.801636,2.4321506,0.33030206,-5.435308,-11.365422,-14.128099,-13.88383
positions,5,7.0106883,2.688467,0.6008465,-5.1758704,-11.087545,-13.855323,-13.487501
positions,6,7.172266,2.9020452,0.9195805,-4.81538,-10.760049,-13.3740635,-13.796469
positions,7,7.845659,3.6835759,1.7246996,-3.9752831,-9.844699,-12.441677,-12.663704
positions,8,8.58865,4.4259515,2.4902818,-3.1477525,-8.975702,-11.533109,-11.862231
positions,9,9.823201,5.678379,3.8069751,-1.7297962,-7.5668535,-10.13379,-10.257428
tokens,0,6.3413105,2.532742,-0.53142136,-3.6982758,-6.623305,-7.4675956,-16.543486
tokens,1,7.196268,3.2882652,0.15345863,-3.176274,-6.249589,-12.005552,-7.969197
tokens,2,6.135423,2.3069265,-0.7271555,-3.9524417,-6.8451824,-8.074209,-15.497704
tokens,3,6.4989247,2.601263,-0.52016425,-3.7720742,-7.012058,-9.6396265,-8.08897
tokens,4,6.315513,2.4604685,-0.5634278,-3.7513056,-6.799029,-7.9543734,-8.439885
tokens,5,8.195176,3.842537,-0.03731081,-3.5975282,-6.8493857,-10.017412,-9.081833
tokens,<pad>,0.72752106,1.174292,0.07525427,-1.7701247,-1.7792172,-1.0542054,0.29122046
tokens,<s>,1.4370645,1.0922812,0.60103923,-0.70164615,-0.93955183,-1.3053267,-0.10775584
tokens,_,0.72670037,1.2790854,0.71709114,-0.71338516,-1.1981865,-0.79267186,-1.3868717
tokens,_,0.5787883,0.9277886,0.4964167,-1.2608145,-1.3071285,-0.5101513,-0.2642106
tokens,_,0.34473518,0.41424292,0.20068942,-0.7294361,-1.2541718,-0.7647365,-0.8605957
tokens,_,0.7119764,0.3381243,1.193373,-0.5431252,-2.011095,-0.8998073,-0.18624038
tokens,_,1.5303999,0.021809187,0.4659325,-0.25068715,-1.1553196,-0.27763206,-0.4394409
tokens,_,0.23181544,0.876161,0.23265429,-0.6922736,-1.4800303,-0.8328109,-0.39993787
tokens,_,0.5367159,1.5141258,0.2816001,-0.64577407,-1.3949735,-1.035241,-0.77274656
tokens,_,0.7475577,0.2515271,0.048580863,-1.4191813,-1.5843589,-0.8482632,-1.8734732
tokens,_,0.26369143,0.24099985,-3.5720255e-05,-0.45334327,-0.8390278,-0.7454434,-0.050694216
tokens,_,0.21531911,1.7923931,0.82419,-0.9336899,-1.8605646,-0.41661623,-0.32914585
tokens,_,0.30939844,0.330169,1.0953897,-0.40477768,-1.191828,-0.49324468,-1.0020944
tokens,_,0.46917546,0.91887957,0.23470062,-0.90271217,-1.4696912,-1.0910227,-0.50891405
