word,var0_embeddings,var1_embeddings,var2_embeddings,var3_embeddings
<pad>,0,11,20,13
<unk>,1,10,2,22
<s>,23,24,0,1
</s>,23,12,3,1
?,0,0,9,3
the,4,18,15,16
What,22,1,6,19
is,6,14,7,7
of,11,9,1,1
in,18,18,16,9
a,11,12,6,24
``,22,19,1,19
How,7,21,7,7
's,20,9,14,15
was,20,23,11,0
to,22,7,22,19
Who,21,17,14,8
",",23,3,16,19
for,11,16,15,21
are,6,21,9,7
and,22,14,7,10
did,6,6,5,7
does,12,12,24,12
many,20,13,24,13
do,22,1,7,1
on,9,7,17,3
Where,9,7,19,23
name,19,19,15,0
I,23,1,7,5
first,15,4,10,15
can,3,5,22,16
you,22,12,1,7
The,16,9,10,0
from,3,5,3,7
When,20,13,18,13
.,22,12,3,21
country,9,7,4,9
U.S.,18,10,8,15
by,19,23,15,17
what,15,7,20,14
that,15,21,2,17
most,15,9,16,15
have,6,24,21,16
with,15,23,15,0
an,12,14,7,1
has,10,23,2,15
as,17,4,15,18
world,10,2,17,9
Which,19,23,15,17
Why,7,5,7,5
city,9,7,4,23
there,7,0,11,12
Name,19,4,15,17
it,6,14,5,20
be,20,21,17,7
find,4,5,22,3
were,10,23,6,2
people,13,21,21,5
get,3,5,1,5
at,16,6,12,17
called,15,4,16,17
his,0,19,17,0
state,9,7,20,9
year,20,13,24,13
largest,4,18,19,15
American,13,9,11,20
mean,7,22,24,5
two,10,10,17,15
made,19,6,12,0
fear,15,6,15,17
In,2,15,18,20
between,5,21,7,7
long,20,13,10,13
its,15,4,15,15
when,12,5,7,5
much,20,8,18,13
',12,5,9,21
used,14,18,12,24
:,21,19,23,8
origin,7,5,7,7
movie,15,11,12,21
who,19,17,15,0
word,22,12,0,6
about,22,5,7,5
film,15,12,12,24
famous,17,19,14,8
company,8,17,14,8
kind,15,12,15,6
TV,19,8,15,0
known,15,23,16,17
make,12,0,6,11
best,19,23,15,17
take,6,2,10,13
New,16,16,19,15
President,8,17,11,8
one,10,15,15,15
your,11,14,6,6
World,10,18,16,15
book,15,6,12,17
stand,8,16,13,21
he,21,10,1,10
invented,17,17,14,8
only,22,10,2,17
John,22,12,12,2
War,3,5,8,5
live,9,2,10,9
or,22,18,15,21
play,19,11,15,17
up,11,23,3,3
color,15,12,1,6
out,7,12,0,7
their,23,7,9,18
all,15,18,20,2
which,15,18,2,14
game,24,15,11,16
into,10,4,16,15
come,7,1,7,7
not,21,19,15,0
term,11,12,1,24
last,13,8,13,8
home,9,2,10,23
call,15,18,2,14
wrote,21,17,23,8
time,20,8,21,12
America,18,10,10,9
character,21,17,14,8
team,8,17,13,8
`,12,22,6,5
president,21,17,11,8
named,19,19,15,15
had,13,8,8,0
won,0,17,13,0
countries,9,2,10,9
difference,7,22,7,7
number,20,21,24,13
use,15,18,20,24
played,17,9,23,0
born,13,0,10,16
died,13,8,10,18
man,8,23,15,15
been,20,0,11,7
said,21,10,15,0
South,9,10,17,15
after,20,23,11,13
highest,10,7,20,9
novel,15,6,16,6
baseball,0,16,23,8
dog,11,20,2,14
if,6,12,9,20
information,4,2,21,16
show,15,11,1,21
day,20,20,24,13
song,14,12,20,17
would,3,19,11,13
years,13,8,10,13
capital,9,7,4,23
some,22,3,1,22
English,22,11,12,17
my,22,22,0,5
names,21,17,3,10
drink,15,12,12,6
become,11,21,6,24
group,16,17,8,0
go,4,2,21,23
actress,21,17,13,8
actor,21,17,13,0
United,18,16,10,23
1,0,0,4,21
work,5,22,0,1
how,7,14,7,7
average,13,8,24,13
say,3,12,6,6
will,6,21,6,7
common,19,9,1,17
than,13,0,20,3
war,11,12,12,24
body,3,7,6,2
top,10,15,8,9
sport,15,18,15,6
King,16,17,17,15
located,9,7,19,23
water,5,5,7,7
star,16,17,17,23
different,6,12,6,24
animal,15,12,1,6
die,6,0,24,7
computer,22,12,14,21
food,19,23,1,21
old,20,13,13,13
't,2,12,0,1
woman,13,17,14,0
during,19,8,14,18
States,18,5,4,23
three,14,15,17,14
population,20,2,18,13
more,22,18,2,15
money,20,13,11,12
York,0,17,21,19
like,22,14,0,1
over,10,10,12,13
killed,19,23,14,18
leader,17,17,13,8
part,3,9,2,15
college,8,19,21,8
California,9,7,19,16
title,17,23,2,17
through,4,7,22,8
longest,10,7,20,16
portrayed,21,17,13,8
makes,12,19,6,1
car,22,12,1,7
should,7,0,21,12
address,4,7,4,23
Internet,9,5,22,23
each,13,8,5,12
river,9,7,19,9
they,7,0,7,7
Charles,19,9,11,15
school,0,22,21,11
history,5,22,7,7
Randy,8,8,11,8
Craft,13,24,13,8
four,15,6,12,17
meaning,7,0,7,5
Day,6,24,7,3
mountain,9,2,20,9
write,3,12,5,17
system,3,21,20,21
French,15,11,1,0
black,24,12,1,12
became,16,19,17,8
popular,15,23,2,21
times,10,21,20,12
date,20,13,18,13
cost,20,2,11,13
A,3,5,22,1
power,8,14,21,7
North,3,10,2,23
major,0,23,23,8
built,10,2,10,7
National,13,16,19,23
created,19,17,14,0
person,21,19,11,8
new,11,12,16,21
features,15,7,2,2
West,22,4,1,19
James,24,11,14,0
good,15,23,15,10
comic,19,11,15,17
contains,2,7,2,2
causes,7,5,7,7
someone,22,12,7,1
form,19,1,0,19
feet,4,14,24,12
colors,19,12,1,24
London,10,10,19,9
&,23,21,21,5
island,9,7,4,9
children,20,14,11,24
begin,20,2,18,13
language,15,1,12,21
me,22,11,7,10
space,15,4,15,18
miles,10,2,10,13
Great,4,10,20,3
George,15,7,2,14
found,10,10,2,15
air,24,2,13,12
so,22,22,0,1
letters,14,12,1,21
way,14,15,1,14
following,21,19,14,8
British,15,17,17,10
place,9,7,4,16
five,15,23,8,15
II,22,11,16,16
television,20,1,8,15
Japanese,16,10,3,15
rate,20,24,21,13
area,9,0,7,7
eat,15,18,12,6
England,10,9,10,9
Earth,10,2,18,13
product,15,20,16,24
Kennedy,15,3,19,2
Russian,15,10,15,15
5,1,6,18,24
her,19,23,14,0
office,7,3,1,7
lawyer,21,19,13,8
nickname,17,17,8,8
soft,15,12,1,6
type,15,12,12,6
abbreviation,8,16,14,21
US,18,19,22,15
William,19,10,15,15
line,15,1,20,2
definition,7,5,7,7
real,8,8,21,8
second,22,15,12,14
San,22,5,22,16
words,7,12,7,7
cities,9,7,4,23
member,8,8,8,8
biggest,10,15,20,15
blood,11,12,0,11
business,8,17,13,8
Washington,16,9,1,9
Spanish,15,10,2,15
Nixon,8,24,10,8
letter,15,12,1,14
life,13,8,11,13
tree,11,11,14,15
female,8,17,23,22
NN,21,9,14,21
happened,12,22,7,5
Germany,13,14,24,12
know,22,22,7,5
Hitler,18,2,20,16
Whose,17,17,13,8
Park,9,16,4,23
boasts,10,2,10,23
2,10,15,13,13
St.,10,10,23,16
runs,10,8,8,15
married,13,6,11,8
player,0,8,8,0
newspaper,22,15,15,2
European,3,7,22,23
moon,7,24,24,11
prime,8,17,21,8
minister,8,17,14,8
Mississippi,10,2,18,13
River,9,2,10,9
human,24,13,24,24
held,22,19,22,22
Christmas,5,0,7,12
seven,20,14,15,18
CNN,13,8,18,12
Greek,22,23,3,22
On,10,15,10,13
birth,20,20,11,13
death,24,14,24,24
$,22,18,20,18
served,16,16,10,15
chemical,24,20,6,24
animals,15,12,1,6
age,20,2,11,12
far,20,8,10,13
main,3,20,12,24
before,2,1,1,24
Bowl,16,10,2,15
sea,9,7,20,9
claim,6,5,7,5
Queen,10,9,10,15
Indians,22,7,15,17
father,21,17,14,8
code,12,21,5,7
cartoon,17,17,8,15
singer,8,17,13,0
music,0,3,0,19
states,9,2,10,3
Indian,3,17,8,17
Pope,16,8,23,15
series,15,12,1,17
My,7,22,7,5
love,22,12,1,17
oldest,9,10,10,9
horse,19,15,16,6
Little,10,23,8,18
Sea,22,23,22,18
sports,19,11,15,18
tell,22,22,7,5
International,18,16,19,8
no,22,23,1,11
store,21,10,8,15
original,8,10,13,8
shot,16,19,4,0
cards,11,18,12,15
football,1,17,23,8
see,10,7,19,15
Airport,4,7,4,23
Africa,18,10,19,15
Big,19,15,6,3
center,4,7,4,23
battle,19,1,1,18
Super,19,23,15,21
fought,4,6,23,14
dubbed,18,18,12,15
Canada,23,18,4,7
record,13,8,8,8
Japan,16,23,14,15
ever,22,23,1,17
10,13,0,11,15
being,22,23,16,17
singing,19,11,15,17
baby,0,0,0,11
started,22,11,6,0
disease,15,12,1,17
Olympic,12,11,6,7
where,2,15,20,15
F.,22,15,3,19
comedian,21,17,13,8
ship,11,20,15,6
department,21,10,17,8
women,8,0,7,8
red,22,12,1,24
never,21,8,13,17
musical,15,6,20,19
soldiers,7,2,21,7
hit,9,23,17,23
Steven,19,9,13,18
list,3,5,22,7
Europe,15,15,2,13
gold,19,9,15,15
another,1,12,1,24
3,1,11,1,19
City,10,15,19,23
lives,10,17,15,9
Old,15,20,12,6
board,2,14,9,12
men,15,2,12,15
flag,15,15,20,2
earth,10,5,1,16
tuberculosis,20,24,24,20
need,7,21,1,6
law,6,0,11,7
Soviet,8,17,14,8
appear,22,17,2,10
House,10,23,8,15
University,24,15,18,15
Dick,13,8,11,8
Latin,14,1,19,19
size,9,7,18,13
travel,6,21,24,16
them,0,19,21,0
beer,19,12,0,14
income,20,21,24,7
once,4,16,19,15
big,20,13,24,13
win,19,11,15,0
Berlin,13,2,20,16
famed,9,2,4,15
Asian,16,2,4,9
Bridge,2,15,16,15
China,10,15,18,4
around,17,9,1,24
Los,6,14,20,16
tax,6,21,24,7
founded,8,23,13,8
building,4,2,19,3
symbol,11,1,1,24
we,4,0,24,7
ice,6,21,9,7
May,21,10,19,22
fame,7,0,24,7
starred,0,8,23,0
introduced,11,12,16,16
high,20,8,24,11
art,13,13,10,16
fast,20,24,13,12
greatest,15,23,15,18
stop,12,22,7,7
down,0,22,3,5
because,4,10,8,15
Tom,16,4,15,17
Marvel,19,23,15,17
look,22,22,7,7
Peter,17,9,15,17
species,11,21,9,24
hole,7,0,24,7
end,15,15,16,16
worth,20,8,11,20
hair,19,12,1,24
fastest,17,18,16,17
role,17,17,13,17
African,10,5,19,15
Jaws,24,13,13,24
girl,13,17,13,8
Jackson,10,10,10,15
under,2,15,20,6
games,10,10,2,15
Shea,7,0,7,7
Gould,12,0,7,7
White,0,17,13,23
general,8,19,13,8
Islands,3,7,4,23
director,21,17,15,8
wine,19,12,1,0
whom,21,17,23,8
birds,14,12,1,6
1984,16,16,17,22
percentage,20,13,24,20
king,21,17,21,8
Thatcher,13,13,10,15
card,11,18,15,21
Jack,10,23,15,4
Kentucky,10,7,20,15
ball,2,15,1,24
Texas,18,10,10,15
often,15,15,16,24
Prize,0,17,11,8
Bible,13,21,11,13
Mount,9,2,10,13
thing,19,23,15,17
magazine,15,6,12,24
head,19,23,0,0
male,20,20,18,12
build,4,10,4,3
claimed,8,19,14,0
website,4,7,19,23
eyes,11,6,1,24
but,21,23,1,17
characters,16,17,15,8
Chinese,22,9,22,1
originate,9,7,20,9
watch,13,2,11,12
million,22,5,20,15
products,24,21,15,24
every,4,2,12,12
full,4,19,8,3
back,2,23,0,3
Sioux,15,12,16,6
sometimes,3,19,4,23
produced,13,22,14,21
produce,11,1,16,6
tennis,2,18,20,17
middle,8,16,15,1
inside,6,14,6,24
Richard,21,16,4,15
El,24,17,13,16
favorite,15,12,16,17
story,22,12,12,17
buried,8,10,17,0
Australia,22,1,12,20
instrument,15,6,12,6
Bill,18,15,10,15
web,9,7,22,3
Monopoly,24,8,12,21
plant,11,20,7,12
caused,7,5,0,7
got,4,7,21,23
-,2,18,1,14
balls,22,3,1,24
run,24,8,23,13
Union,18,17,8,15
Horse,9,10,19,9
former,17,19,8,0
plays,19,6,0,6
basketball,8,10,8,8
allowed,6,14,7,5
producer,19,10,8,8
Show,17,11,15,8
Americans,24,20,18,24
child,20,8,11,15
Olympics,9,16,10,23
months,13,0,24,3
strip,0,9,14,17
Star,0,17,21,10
face,15,18,20,15
assassinated,21,10,10,16
featured,15,1,12,24
saw,11,1,6,2
ocean,4,10,20,9
formed,22,14,6,1
Oscar,19,9,15,18
university,8,19,14,8
Angeles,6,0,24,7
other,15,18,1,17
start,6,21,6,7
us,11,18,6,19
cold,2,12,1,24
stars,0,9,13,7
cigarette,12,0,6,7
while,15,8,23,3
organization,8,19,11,8
Prince,10,9,20,3
nuclear,7,14,7,5
point,5,5,4,5
Alaska,18,24,18,8
India,8,17,17,19
sign,15,12,6,17
German,22,19,17,3
6,16,20,17,3
believe,6,14,6,7
players,8,8,21,8
alphabet,15,6,12,24
awarded,13,9,11,9
league,8,17,11,0
considered,22,23,1,21
11,16,10,17,14
cowboy,17,11,15,0
golf,6,1,20,24
tallest,9,7,4,13
companies,18,23,17,18
reason,7,22,7,5
schools,0,19,21,8
century,20,13,5,13
mile,10,2,11,3
milk,2,18,12,15
machines,14,12,1,21
richest,8,16,15,9
without,22,23,11,0
son,21,17,13,8
titled,17,17,14,8
celebrated,15,15,12,17
bridge,15,18,20,2
planet,9,2,19,9
eggs,11,0,18,24
Ray,2,12,2,14
came,24,11,10,12
Law,11,6,15,17
told,19,9,23,0
setting,20,2,21,20
continent,9,7,22,9
based,18,10,2,15
rock,19,10,19,17
band,8,17,14,0
languages,15,6,12,18
presidents,8,17,14,8
written,15,1,1,3
wear,19,11,1,0
1963,24,23,14,1
nationality,9,7,19,23
great,15,23,15,17
paper,19,21,8,17
week,6,20,18,24
radio,17,23,21,15
Miss,16,16,13,9
types,15,12,12,24
Wars,19,12,1,22
Columbia,20,24,10,16
element,22,1,1,19
students,22,5,7,16
family,24,11,15,21
France,11,6,2,17
medical,6,20,7,11
State,5,7,7,5
1899,14,12,1,24
Chicago,0,22,2,19
NNP,9,19,16,17
Night,10,16,13,16
now,8,16,10,23
could,4,8,21,15
Vatican,11,14,21,8
six,19,8,3,17
follow,24,20,18,24
career,18,17,21,8
fly,13,23,13,11
followed,19,23,14,0
O,13,2,18,13
lake,9,7,19,15
Vietnam,7,14,7,7
put,22,11,1,6
living,17,17,17,10
boy,8,11,14,8
books,15,17,12,17
month,20,13,24,13
opera,8,10,21,15
numbers,20,0,9,12
fire,13,9,10,0
Roman,22,6,1,11
she,8,19,11,15
set,15,12,5,24
commercial,2,15,12,2
Ireland,20,15,10,4
Red,19,23,1,14
own,7,14,24,13
Wall,24,2,11,24
cover,19,23,15,0
elected,8,17,21,8
himself,19,8,23,0
serve,22,10,4,23
affect,5,12,0,5
flight,0,11,15,11
USA,10,21,8,12
Man,3,5,22,5
Vegas,2,5,20,16
gas,7,21,6,7
AIDS,22,12,1,21
field,22,19,7,19
grow,15,18,15,17
winter,24,21,24,24
file,3,1,3,24
points,10,8,13,13
program,19,15,1,17
square,18,10,22,3
contain,22,18,2,17
Simpsons,13,8,18,13
Franklin,19,23,1,18
Roosevelt,6,12,7,24
1983,24,8,13,4
historical,14,23,2,24
leading,10,19,19,23
Spumante,19,19,11,10
having,20,8,11,13
hand,10,15,15,0
sound,22,5,4,10
Games,10,11,13,8
sleep,7,20,23,24
General,6,1,9,3
making,8,17,4,8
going,24,17,23,18
Kid,19,11,8,17
Brown,0,10,8,23
poet,17,17,13,0
Lakes,3,5,22,9
painted,17,17,14,0
Mother,18,16,14,10
comics,0,10,9,0
left,11,11,11,24
right,19,4,16,0
From,22,1,1,19
Mrs.,21,11,13,4
mother,8,9,23,15
8,7,0,9,7
Black,7,0,22,20
bone,7,1,0,19
blue,0,12,0,20
Jane,0,22,9,7
cancer,19,12,6,17
light,12,5,6,3
Jude,22,6,15,14
minimum,24,8,24,20
wage,20,14,18,20
amount,7,14,24,4
Jimmy,19,23,15,17
cars,22,22,17,22
brain,7,13,5,24
lived,9,2,10,15
near,9,10,4,23
Thomas,10,15,10,2
government,10,10,15,17
Spielberg,11,20,12,18
occur,3,1,5,24
pop,0,23,0,11
buy,23,2,20,3
also,19,23,16,17
eye,1,9,15,18
7,15,6,2,24
DC,22,23,1,19
films,24,23,15,12
God,0,10,21,8
15,24,6,1,24
ways,15,12,15,24
diamond,8,17,11,0
working,4,18,20,2
town,9,7,19,9
rule,18,7,4,5
NFL,19,9,23,15
close,22,22,1,1
visit,18,7,19,3
author,17,17,13,8
represented,19,10,15,0
design,22,0,0,19
turned,24,23,23,0
Massachusetts,8,2,11,3
Charlie,0,17,21,10
Tokyo,16,13,11,8
border,4,7,18,3
bowling,13,0,21,7
birthday,13,13,11,13
large,10,2,20,20
0,22,11,2,18
Mary,11,6,1,19
remove,6,12,1,24
read,15,7,16,2
Caribbean,10,10,2,15
ten,0,17,2,15
spoken,15,6,20,18
East,10,7,22,2
Florida,18,15,10,16
paint,18,8,21,20
contact,22,14,22,7
Maurizio,10,2,10,16
Pellegrin,9,2,10,13
treat,15,20,12,14
desert,10,7,19,16
gave,16,10,23,17
seen,17,17,14,0
Christian,8,19,14,8
tall,20,13,10,13
members,13,14,11,13
medicine,1,6,1,17
Muppets,17,17,13,8
VHS,1,1,12,21
equal,20,8,24,24
video,1,10,8,21
Island,0,24,22,15
Italian,15,16,10,15
Street,10,10,10,16
Mexico,4,10,19,18
hands,6,20,6,24
friend,21,19,11,8
successful,12,22,4,8
artist,8,17,13,13
album,15,6,12,12
same,20,24,13,8
submarine,14,12,1,2
events,15,1,12,24
Watergate,8,22,4,22
given,19,9,15,0
Michael,8,17,13,8
weight,20,20,24,24
telephone,9,2,7,7
phone,7,2,24,12
went,8,19,21,8
Henry,16,10,14,15
Bond,21,9,23,12
paid,6,21,7,20
Madonna,19,9,14,21
wife,22,9,15,18
Mr.,19,11,13,10
early,0,23,9,1
Korea,20,13,24,13
Nobel,18,0,11,1
sex,3,1,1,6
Battle,16,10,8,8
white,22,1,0,0
painting,24,15,20,2
13,13,0,18,3
Security,8,19,13,8
current,13,8,13,8
test,6,12,1,7
kept,22,23,1,0
Golden,11,20,7,24
cereal,15,12,12,14
Rocky,5,5,22,5
rivers,9,7,4,15
along,10,7,20,16
clouds,11,12,1,24
still,20,21,5,24
energy,7,23,7,1
Italy,2,15,19,2
Castle,9,5,22,9
Shakespeare,13,8,10,4
weapon,11,18,16,24
score,20,8,21,13
elephant,6,13,24,24
drug,2,20,16,24
inspired,14,1,12,24
sold,11,8,12,4
Answers.com,22,5,22,1
Ben,17,17,15,17
composer,17,8,14,22
D.,13,0,11,8
March,11,21,6,6
bill,23,5,22,3
lyrics,23,10,21,23
pregnancy,10,24,24,24
commonly,15,1,1,17
ages,20,2,24,24
eleven,20,2,11,20
developed,20,23,17,4
Mercury,8,10,13,18
Diego,22,22,7,1
dead,21,17,13,0
Kuwait,24,20,6,24
control,10,23,6,12
oceans,4,5,18,9
chapter,13,24,24,13
Jewish,15,6,12,17
humans,15,23,2,24
police,21,17,14,8
Kevin,2,12,15,14
Costner,11,20,12,2
oil,23,5,1,19
corpus,3,3,2,2
murder,13,20,12,16
dollar,7,14,24,20
degrees,7,2,18,13
cross,14,7,2,23
27,10,10,2,15
price,13,20,24,20
e-mail,4,7,22,23
leave,7,14,0,16
little,19,12,3,0
Justice,22,22,9,23
Goodall,0,22,4,1
reach,9,8,18,3
claims,18,19,2,8
Colin,12,22,24,5
Powell,0,22,7,5
Martin,13,9,15,3
Luther,13,20,10,18
theme,19,17,15,21
1967,24,1,23,2
animated,0,17,13,8
Hollywood,19,11,1,19
airplane,19,11,20,6
beach,20,2,21,13
ads,22,11,15,12
electric,22,23,7,1
effect,7,5,0,5
headquarters,4,7,19,16
Aaron,19,11,14,10
function,7,22,7,7
clean,7,21,1,7
hockey,13,8,21,8
Republic,18,16,19,3
convicted,20,2,5,16
1998,10,15,22,16
1994,16,10,13,15
court,18,10,22,13
correct,14,7,1,3
Microsoft,4,7,2,10
queen,10,9,23,8
host,21,17,4,8
1969,13,13,13,20
elements,15,15,2,24
glass,10,20,12,24
cream,11,20,1,24
received,13,17,2,0
Rogers,19,23,23,0
Senate,8,22,11,19
pitcher,17,0,11,10
12,12,21,6,7
days,22,19,7,5
nine,1,3,6,17
To,22,11,2,8
Civil,8,10,15,8
directed,21,17,23,8
Reims,16,7,10,23
Seven,0,19,14,17
Rascals,15,11,12,14
Britain,10,16,10,9
email,23,19,4,23
army,16,17,14,8
Titanic,1,14,22,23
page,23,7,22,23
fish,11,12,20,14
transplant,0,0,7,7
Space,21,9,1,18
Mutombo,8,19,21,15
create,19,8,8,8
Bureau,21,12,18,23
Investigation,21,16,13,4
itself,19,10,2,0
season,13,2,11,13
give,22,22,1,0
race,14,18,20,14
Four,21,17,17,17
caliente,6,12,5,24
kids,22,12,20,24
literary,15,1,3,19
sun,3,5,1,7
Mozambique,9,7,4,9
expression,7,12,7,7
bottle,12,24,7,20
McCarren,9,2,4,15
comes,15,18,17,15
Louis,11,1,23,21
perfect,6,21,21,7
operating,19,12,1,6
stock,13,16,13,24
Captain,13,24,11,8
questions,7,14,21,3
Johnny,19,1,12,17
trial,12,21,7,11
took,22,11,1,17
substance,19,18,12,14
taste,7,12,1,24
n't,23,22,22,23
produces,10,15,2,9
temperature,20,24,13,16
salary,20,2,21,12
online,5,7,22,23
invent,19,18,16,6
appearance,22,1,1,24
inches,12,8,18,24
reign,10,7,16,13
chicken,11,0,1,14
help,11,1,7,14
religion,22,23,7,18
astronauts,17,10,1,2
Ruth,13,17,8,15
daily,6,20,24,20
using,6,21,7,7
off,22,23,22,12
twins,20,2,21,13
qigong,5,1,0,1
then,22,22,7,1
Peachy,10,2,23,13
Oat,24,13,23,14
Muffins,6,6,18,12
bee,0,22,0,8
least,10,15,20,3
brand,15,9,15,17
try,19,1,13,0
appeared,16,23,15,0
southern,9,2,10,23
creature,11,12,1,6
heart,24,0,15,9
lose,19,23,15,17
D.C.,8,9,4,23
universe,12,24,11,16
complete,5,21,7,7
If,17,23,8,8
adult,24,20,23,24
must,3,2,6,16
magic,11,18,12,1
discovered,15,23,2,17
chocolate,15,7,1,19
always,22,19,17,5
occupation,8,17,14,8
county,4,10,4,9
green,6,16,6,7
ago,13,0,10,13
site,4,2,10,3
mayor,21,10,8,8
snow,5,14,6,7
asked,21,17,13,8
hero,16,11,15,0
Arthur,22,11,10,17
Bear,19,7,19,14
Pennsylvania,18,16,21,9
advertise,21,17,23,8
Las,6,24,7,16
1980,14,15,19,19
Boxing,20,8,10,13
de,9,2,4,20
Nicholas,8,19,14,15
Desmond,13,17,13,10
Atlantic,9,13,2,23
Lee,22,0,9,0
Russia,13,0,18,13
Baby,12,0,7,5
powerful,4,22,22,10
patent,24,12,6,24
this,11,21,24,24
golfer,18,8,13,8
may,12,14,7,11
dealt,24,14,12,18
takes,12,20,5,20
example,3,23,0,17
1960,22,1,12,2
source,3,15,6,7
2000,20,2,11,20
Gate,6,20,12,7
brought,11,23,0,11
calories,20,15,12,7
boxing,0,0,0,1
Carolina,6,14,7,5
swimming,24,2,11,24
Pacific,9,5,22,5
standard,4,20,20,12
Mountain,10,19,22,15
lowest,1,7,20,14
Mark,10,2,20,23
